YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE,Diff,Upset,Matchup
2015,1,3,Notre Dame,69,14,Northeastern,65,11,0,14-3
2015,1,1,Kentucky,79,16,Hampton,56,15,0,16-1
2015,1,4,North Carolina,67,13,Harvard,65,9,0,13-4
2015,1,7,Michigan State,70,10,Georgia,63,3,0,10-7
2015,1,2,Virginia,79,15,Belmont,67,13,0,15-2
2015,1,7,Wichita State,81,10,Indiana,76,3,0,10-7
2015,1,8,San Diego State,76,9,St. John's,64,1,0,9-8
2015,1,10,Ohio State,75,7,Virginia Commonwealth,72,-3,1,10-7
2015,1,2,Gonzaga,86,15,North Dakota State,76,13,0,15-2
2015,1,1,Duke,85,16,Robert Morris,56,15,0,16-1
2015,1,2,Kansas,75,15,New Mexico State,56,13,0,15-2
2015,1,2,Arizona,93,15,Texas Southern,72,13,0,15-2
2015,1,1,Villanova,93,16,Lafayette,52,15,0,16-1
2015,1,3,Oklahoma,69,14,Albany (N.Y.),60,11,0,14-3
2015,1,14,Georgia State,57,3,Baylor,56,-11,1,14-3
2015,1,8,North Carolina State,66,9,LSU,65,1,0,9-8
2015,1,14,Alabama-Birmingham,60,3,Iowa State,59,-11,1,14-3
2015,1,4,Louisville,57,13,UC Irvine,55,9,0,13-4
2015,1,8,Cincinnati,66,9,Purdue,65,1,0,9-8
2015,1,4,Georgetown,84,13,Eastern Washington,74,9,0,13-4
2015,1,5,Northern Iowa,71,12,Wyoming,54,7,0,12-5
2015,1,6,Xavier,76,11,Mississippi,57,5,0,11-6
2015,1,7,Iowa,83,10,Davidson,52,3,0,10-7
2015,1,11,UCLA,60,6,Southern Methodist,59,-5,1,11-6
2015,1,8,Oregon,79,9,Oklahoma State,73,1,0,9-8
2015,1,5,Utah,57,12,Stephen F. Austin,50,7,0,12-5
2015,1,11,Dayton,66,6,Providence,53,-5,1,11-6
2015,1,5,West Virginia,68,12,Buffalo,62,7,0,12-5
2015,1,6,Butler,56,11,Texas,48,5,0,11-6
2015,0,11,Mississippi,94,11,Brigham Young,90,0,0,11-11
2015,0,11,Dayton,56,11,Boise State,55,0,0,11-11
2015,0,16,Hampton,74,16,Manhattan,64,0,0,16-16
2015,0,16,Robert Morris,81,16,North Florida,77,0,0,16-16
2014,6,7,Connecticut,60,8,Kentucky,54,1,0,8-7
2014,5,8,Kentucky,74,2,Wisconsin,73,-6,1,8-2
2014,5,7,Connecticut,63,1,Florida,53,-6,1,7-1
2014,4,8,Kentucky,75,2,Michigan,72,-6,1,8-2
2014,4,7,Connecticut,60,4,Michigan State,54,-3,1,7-4
2014,4,1,Florida,62,11,Dayton,52,10,0,11-1
2014,4,2,Wisconsin,64,1,Arizona,63,-1,1,2-1
2014,3,8,Kentucky,74,4,Louisville,69,-4,1,8-4
2014,3,1,Florida,79,4,UCLA,68,3,0,4-1
2014,3,4,Michigan State,61,1,Virginia,59,-3,1,4-1
2014,3,1,Arizona,70,4,San Diego State,64,3,0,4-1
2014,3,2,Wisconsin,69,6,Baylor,52,4,0,6-2
2014,3,7,Connecticut,81,3,Iowa State,76,-4,1,7-3
2014,3,2,Michigan,73,11,Tennessee,71,9,0,11-2
